rank,X,S
1,541563488,678199012
2,556813700,678199012
3,562464908,678199012
4,568892576,678199012
5,582950064,678199012
6,584419160,678199012
7,585713618,678199012
8,590110376,678199012
9,597319364,678199012
10,603451000,678199012
11,606999676,678199012
12,610120886,678199012
13,611146988,678199012
14,614864418,678199012
15,619499374,678199012
16,622751372,678199012
17,624295618,678199012
18,627897826,678199012
19,628019012,678199012
20,628616026,678199012
21,628715396,678199012
22,629242100,678199012
23,630517450,678199012
24,636840584,678199012
25,642915414,678199012
26,644073490,678199012
27,644765548,678199012
28,645546318,678199012
29,646671058,678199012
30,647137276,678199012
31,648777430,678199012
32,648817416,678199012
33,648923120,678199012
34,650057158,678199012
35,651664854,678199012
36,653241652,678199012
37,654146636,678199012
38,654198252,678199012
39,654411076,678199012
40,657806084,678199012
41,660140296,678199012
42,661585742,678199012
43,661946604,678199012
44,663402144,678199012
45,664082142,678199012
46,664891934,678199012
47,665147556,678199012
48,666228374,678199012
49,667315244,678199012
50,668695272,678199012
51,669752252,678199012
52,671707922,678199012
53,673895338,678199012
54,677537784,678199012
55,680564062,678199012
56,685532608,678199012
57,685646698,678199012
58,686406184,678199012
59,686915104,678199012
60,687735790,678199012
61,689562642,678199012
62,692693992,678199012
63,695896598,678199012
64,696280578,678199012
65,698456914,678199012
66,698486948,678199012
67,698873092,678199012
68,699559238,678199012
69,701952292,678199012
70,702053116,678199012
71,703359866,678199012
72,706225484,678199012
73,706284298,678199012
74,709793796,678199012
75,711496782,678199012
76,714786966,678199012
77,716149060,678199012
78,718892944,678199012
79,721599574,678199012
80,723438832,678199012
81,724389156,678199012
82,724952896,678199012
83,725022932,678199012
84,725927716,678199012
85,731466062,678199012
86,734124842,678199012
87,737259506,678199012
88,743067992,678199012
89,748044252,678199012
90,754358194,678199012
91,758013402,678199012
92,758206882,678199012
93,770887622,678199012
94,792167188,678199012
95,795125962,678199012
96,799774526,678199012
97,812260464,678199012
98,820223748,678199012
99,829593586,678199012
100,868621746,678199012
