rank,X,S
1,301722104,678199012
2,332501522,678199012
3,359586708,678199012
4,363207552,678199012
5,389391586,678199012
6,409803152,678199012
7,420183294,678199012
8,436606710,678199012
9,449342184,678199012
10,451636012,678199012
11,461303942,678199012
12,462296668,678199012
13,466699842,678199012
14,469319962,678199012
15,474350938,678199012
16,475824540,678199012
17,476386820,678199012
18,478688260,678199012
19,481552730,678199012
20,485274344,678199012
21,485998488,678199012
22,488636496,678199012
23,493330054,678199012
24,506017304,678199012
25,508697594,678199012
26,511191036,678199012
27,515164810,678199012
28,515451848,678199012
29,526393342,678199012
30,527646394,678199012
31,528684552,678199012
32,531089852,678199012
33,537086050,678199012
34,540832122,678199012
35,560474826,678199012
36,563464194,678199012
37,573471522,678199012
38,577549426,678199012
39,577569624,678199012
40,579381224,678199012
41,586022334,678199012
42,592393238,678199012
43,617652146,678199012
44,625709248,678199012
45,626189056,678199012
46,627069256,678199012
47,629711336,678199012
48,630638642,678199012
49,633276650,678199012
50,634292284,678199012
51,639488350,678199012
52,640871938,678199012
53,648079872,678199012
54,652960716,678199012
55,664920148,678199012
56,668692264,678199012
57,671690066,678199012
58,694137058,678199012
59,698278238,678199012
60,720165080,678199012
61,723473976,678199012
62,725073478,678199012
63,739813362,678199012
64,746519044,678199012
65,750647784,678199012
66,755465344,678199012
67,762458456,678199012
68,763917600,678199012
69,771349560,678199012
70,772277798,678199012
71,786836320,678199012
72,792624820,678199012
73,796651098,678199012
74,816497674,678199012
75,842764046,678199012
76,843789096,678199012
77,847289368,678199012
78,856100504,678199012
79,868859154,678199012
80,886467136,678199012
81,908401182,678199012
82,909505468,678199012
83,922192634,678199012
84,925453504,678199012
85,927244430,678199012
86,942595004,678199012
87,956032008,678199012
88,978769362,678199012
89,1016049450,678199012
90,1034082062,678199012
91,1105017520,678199012
92,1109638718,678199012
93,1110289310,678199012
94,1159049594,678199012
95,1172960844,678199012
96,1222190798,678199012
97,1253182368,678199012
98,1279368364,678199012
99,1382915972,678199012
100,1532106214,678199012
